"ACTION","REWARD","A0","A1","A2","A3","V"
"0","0.0","0.00791786","-0.000518346","-0.00222153","0.00492794","0.0121141"
"0","0.0","0.0138753","-0.00264936","-0.00541165","0.00868797","0.0181717"
"2","0.0","0.0156606","-0.00484194","-0.00459945","0.0113924","0.0232361"
"0","0.0","0.0159254","-0.0032987","-0.00246102","0.0119933","0.0263115"
"0","0.0","0.0130871","-0.00553638","-0.00114972","0.0159905","0.0298584"
"0","0.0","0.0134576","-0.00758533","0.00185842","0.0171221","0.0301181"
"1","0.0","0.0139838","-0.00745732","0.00302646","0.0179354","0.0277078"
"0","0.0","0.0134029","-0.00907197","0.00503944","0.0188227","0.0277643"
"0","0.0","0.0133471","-0.00859611","0.00545592","0.0193894","0.0254205"
"0","0.0","0.0132273","-0.00821387","0.00553061","0.0198036","0.0233064"
"2","0.0","0.0130824","-0.00789794","0.0054177","0.0201097","0.0214866"
"0","0.0","0.0122355","-0.00701535","0.00364516","0.0209798","0.0203417"
"2","0.0","0.0113691","-0.00635441","0.00245301","0.0216693","0.0193483"
"0","0.0","0.0105709","-0.00585985","0.00166573","0.0222403","0.0185153"
"2","0.0","0.00987394","-0.00548834","0.00116305","0.0227269","0.0178333"
"0","0.0","0.00928322","-0.00520708","0.000860507","0.0231483","0.0172848"
"3","0.0","0.00879075","-0.00499196","0.000697949","0.0235162","0.0168501"
"0","0.0","0.00907715","-0.00544498","0.00220189","0.0231994","0.0161399"
"3","0.0","0.0094544","-0.00575816","0.00316061","0.0229739","0.0156422"
"0","0.0","0.00752948","-0.00514738","0.00425216","0.0230751","0.0140598"
"0","0.0","0.00617696","-0.00454823","0.0049029","0.0234177","0.0132075"
"0","0.0","0.00522817","-0.00399922","0.00529957","0.023847","0.0128166"
"1","0.0","0.00456715","-0.00352317","0.00555392","0.0242782","0.0127056"
"1","0.0","0.00387568","-0.00415655","0.00813776","0.0223046","0.0141971"
"3","0.0","0.00617592","-0.00630464","0.00526247","0.0270359","0.0197852"
"2","0.0","0.00311238","-0.00971317","0.00729952","0.02889","0.0215322"
"0","0.0","0.00572277","-0.0113675","0.00522661","0.0321494","0.0248748"
"0","0.0","0.00509602","-0.0113992","0.00890449","0.0282637","0.0221509"
"0","0.0","0.00451601","-0.0102165","0.0090405","0.0276448","0.0189081"
"3","0.0","0.00396463","-0.00888658","0.0090113","0.0271648","0.016853"
"0","0.0","0.00510524","-0.00784589","0.00670267","0.0253533","0.0140429"
"3","0.0","0.00595357","-0.0070659","0.00485828","0.0237926","0.0120451"
"2","0.0","0.00532031","-0.00803406","0.00648572","0.0222239","0.0123716"
"3","0.0","0.00576564","-0.00708601","0.00458567","0.0214463","0.0111063"
"2","0.0","0.00495374","-0.00799245","0.00621815","0.0204954","0.0118881"
"3","0.0","0.00534679","-0.00703213","0.00435153","0.0202007","0.0108992"
"0","0.0","0.00454996","-0.00794545","0.00602848","0.0196229","0.0118428"
"3","0.0","0.00374456","-0.00853895","0.0072999","0.019343","0.012672"
"2","0.0","0.0055683","-0.00628651","0.00671031","0.0202628","0.0111008"
"2","0.0","0.00437366","-0.00710568","0.0078364","0.0199255","0.0119576"
"3","0.0","0.00463629","-0.00617914","0.00556955","0.0200541","0.0109967"
"2","0.0","0.00383705","-0.0071766","0.00694165","0.0197555","0.0119443"
"3","0.0","0.00433605","-0.00632436","0.00489289","0.019914","0.0110369"
"2","0.0","0.00368087","-0.00733985","0.00644351","0.0196393","0.0120135"
"2","0.0","0.00426767","-0.00647734","0.00453453","0.0198174","0.0111183"
"0","0.0","0.00331412","-0.00566054","0.00526596","0.0212885","0.0119053"
"1","0.0","0.00272798","-0.00488919","0.00581204","0.0225174","0.012536"
"0","0.0","0.00217381","-0.00521521","0.00860871","0.0211504","0.0144726"
"0","0.0","0.00196589","-0.00468493","0.00824732","0.0224946","0.0143435"
"2","0.0","0.00190129","-0.00415333","0.0079806","0.0235048","0.0143263"
